, 64
ab, 2
ak, 4
al, 10
ar, 9
az, 27
bc, 8
ca, 105
co, 33
ct, 11
fl, 48
ga, 16
hi, 4
ia, 10
id, 5
il, 57
in, 20
ks, 6
ky, 17
la, 3
ma, 13
mb, 2
md, 7
me, 8
mi, 34
mn, 19
mo, 24
ms, 7
mt, 1
nb, 2
nc, 23
nd, 1
ne, 4
nf, 2
nh, 7
nj, 13
nm, 24
nv, 16
ny, 64
oh, 41
ok, 9
on, 20
or, 26
pa, 20
pq, 1
pr, 2
qc, 1
ri, 6
sa, 1
sc, 15
sd, 1
sk, 3
state, 1
tn, 18
tx, 49
ut, 5
va, 17
vt, 2
wa, 57
wi, 18
wv, 10
wy, 1
